id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
EAF38405-975C-4DD2-842E-F291F7AF58CC,Homestead,397.8069,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-03T18:22:37.000Z,2026-07-03T16:33:50.000Z,2026-07-04T00:17:33.821Z,111.2,Acres,95,Percent,Lampasas,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,265715,Wildfire,31.38230525473267,-98.22045111133973
E58EC24B-E0FF-41FD-AB3F-46552A59BB94,Ryan,387.1268,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-01T22:22:15.000Z,2026-07-01T19:25:38.000Z,2026-07-01T22:23:02.367Z,36.0,Acres,100,Percent,Comanche,COUNTY,1B,REGION,TXTXS - Texas A & M Forest Service,Visible,265681,Wildfire,32.04138888888907,-98.4533333333333
7A143D4C-A46A-4DF3-A61F-5AE08647F215,Light House,940.1905,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-06-30T19:22:30.000Z,2026-06-30T16:15:10.000Z,2026-06-30T19:22:39.247Z,0.17,Acres,100,Percent,Randall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,265647,Wildfire,34.951284000000186,-101.68049199999996
7C9C2A7C-7397-4E63-AD44-2399077E4F88,County Road 236,704.7172,#595959,Controlled,6CE1E29B-606F-46CB-AEC6-6B9C40B2B18F,2026-07-04T01:00:03.000Z,2026-06-27T19:31:58.000Z,2026-07-04T01:49:57.727Z,29.0,Acres,100,Percent,Nolan,COUNTY,1B,REGION,TXTXS - Texas A & M Forest Service,Visible,265584,Wildfire,32.20028333333333,-100.32321666666667
