id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
75D79C76-6C08-4A63-8608-35C5B5FEBCF4,Laundry,1092.5842,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-04-16T19:27:35.000Z,2026-04-16T18:50:21.000Z,2026-04-16T20:08:09.815Z,60.0,Acres,30,Percent,Randall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,263662,Wildfire,35.15099800000018,-101.70407599999997
D7072308-9B48-4168-B110-27647876290C,Paper Wings,719.193,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-16T01:36:31.000Z,2026-04-14T00:06:26.000Z,2026-04-16T01:37:14.938Z,439.0,Acres,100,Percent,Donley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,263625,Wildfire,34.941658999999994,-100.55534
E33CD73D-6D00-470A-A408-953A36DDEE8F,Redford 2,763.3941,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-14T22:27:56.000Z,2026-04-13T20:47:55.000Z,2026-04-14T22:34:18.890Z,65.0,Acres,100,Percent,Presidio,COUNTY,7,REGION,TXTXS - Texas A & M Forest Service,Visible,263621,Wildfire,29.446983333333332,-104.1942
C5350CC6-E27D-4734-9D67-76A241C0692F,Par 4,754.9901,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-13T19:19:37.000Z,2026-04-13T17:21:25.000Z,2026-04-13T19:22:42.729Z,38.0,Acres,100,Percent,Hemphill,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,263616,Wildfire,35.97516666666686,-100.43433333333329
C204158B-869C-437F-BC21-83B59AED1575,Nacogdoches 3606,141.6239,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-12T00:41:00.000Z,2026-04-11T22:47:00.000Z,2026-04-12T00:44:39.075Z,2.0,Acres,100,Percent,Nacogdoches,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,263606,Wildfire,31.73101666666666,-94.66471666666666
3687F419-045C-49FB-A6BE-CE6E20F68C7A,Panola 3565,94.8015,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-10T00:16:00.000Z,2026-04-09T21:37:00.000Z,2026-04-10T14:18:49.393Z,23.0,Acres,100,Percent,Panola,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,263565,Wildfire,31.977222222222217,-94.25944444444444
4CEEA569-3A14-46E2-A01D-5D68A5A1E59D,Sabine 3508,66.2268,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-08T22:12:00.000Z,2026-04-08T20:00:00.000Z,2026-04-08T22:14:58.936Z,14.0,Acres,100,Percent,Sabine,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,263508,Wildfire,31.210633333333327,-93.94941666666665
4D1562B9-1E07-4BD0-906F-016C1EB5922A,Orange 3409,8.026,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-07T00:05:00.000Z,2026-04-06T18:32:00.000Z,2026-04-07T15:16:44.687Z,37.0,Acres,100,Percent,Orange,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,263409,Wildfire,30.221666666666664,-93.96722222222222
2FCA978C-EEE4-4E20-87B6-368CBC091EE6,Houston 2820,99.6961,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-03-20T22:35:00.000Z,2026-03-20T20:49:00.000Z,2026-03-29T00:00:28.732Z,1.0,Acres,100,Percent,Houston,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,262820,Wildfire,31.37813333333333,-95.14756666666668
3AD7CB63-A63B-4BA2-99BE-EB4EF18E7B57,Cass 2690,111.0331,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-03-19T03:53:28.000Z,2026-03-19T02:03:34.000Z,2026-04-03T15:13:37.821Z,1.0,Acres,100,Percent,Cass,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,262690,Wildfire,32.944444444444436,-94.06722222222223
DD2F07CB-D9B8-4CE5-999A-B89BBDE67B08,Cass 2542,90.6904,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-03-16T16:06:00.000Z,2026-03-16T14:31:00.000Z,2026-03-16T16:08:45.530Z,1.5,Acres,100,Percent,Cass,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,262542,Wildfire,33.269789999999986,-94.151459
