id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
8BE0095E-756A-413A-A3B8-C8908CCA8772,Panola 4154,114.5672,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T22:09:00.000Z,2026-05-16T19:06:49.000Z,2026-05-16T22:14:15.375Z,4.0,Acres,100,Percent,Panola,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264154,Wildfire,32.05279999999999,-94.58301666666667
FF1E283D-AE6B-4C48-95E7-1BD2F5388856,Cherokee 4152,161.9481,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T22:23:00.000Z,2026-05-16T17:38:16.000Z,2026-05-16T22:27:26.005Z,5.1,Acres,100,Percent,Cherokee,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264152,Wildfire,31.94491666666666,-95.30933333333333
4554BC9C-2623-4D57-B796-55BC6960710A,Comanche,578.3795,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-05-16T02:59:32.000Z,2026-05-16T02:31:45.000Z,2026-05-16T23:54:37.833Z,1600.0,Acres,60,Percent,Motley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264138,Wildfire,34.29898800000017,-100.52481999999998
581D38F9-74F6-46FB-8233-2A2B6BB20439,Ox Bow,694.5561,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-05-15T22:50:51.000Z,2026-05-15T21:57:30.000Z,2026-05-16T23:45:27.779Z,1000.0,Acres,80,Percent,Hall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264128,Wildfire,34.50009900000018,-100.78034999999998
62335EB4-02B2-470C-941F-B2A59E417B0F,Western,1125.9786,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T17:44:30.000Z,2026-05-15T21:52:37.000Z,2026-05-17T00:23:39.352Z,1137.0,Acres,100,Percent,Randall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264127,Wildfire,34.88270125428144,-101.93800311396758
A9598012-28CD-40E1-93AB-A2979F5CCA57,Mustache,469.4349,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T03:05:05.000Z,2026-05-15T21:42:18.000Z,2026-05-16T18:18:59.932Z,529.0,Acres,100,Percent,Haskell,COUNTY,1B,REGION,TXTXS - Texas A & M Forest Service,Visible,264126,Wildfire,33.326111111111295,-99.98472222222219
61C5E359-C53E-4E17-9211-D49AFCE055CC,Baylor Creek,586.0978,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T20:50:18.000Z,2026-05-15T18:07:00.000Z,2026-05-15T20:51:16.985Z,195.0,Acres,100,Percent,Childress,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264117,Wildfire,34.44733333333351,-100.4103333333333
7A026FFC-7A1E-4473-9E35-A9982F006E1B,Cherokee,654.9647,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T02:34:04.000Z,2026-05-15T15:46:28.000Z,2026-05-16T18:49:55.685Z,3222.0,Acres,100,Percent,Briscoe,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264115,Wildfire,34.60333333333352,-101.01805555555552
83B993D5-8EB1-4C0D-AB9B-812E4642E158,Chainey Mountain,643.2361,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T23:50:01.000Z,2026-05-15T15:43:06.000Z,2026-05-16T23:50:47.423Z,1200.0,Acres,100,Percent,Hall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264114,Wildfire,34.39444444444463,-100.51305555555551
235A372D-0290-4700-A574-BF6997AE4C73,Line,1236.7527,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T18:20:05.000Z,2026-05-15T05:34:33.000Z,2026-05-16T18:20:50.660Z,10913.0,Acres,100,Percent,Oldham,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264106,Wildfire,35.607533000000195,-103.04099699999996
1DB5D413-166B-4F7A-9C20-AC7DDE9EAF59,Roman,1225.827,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T18:26:36.000Z,2026-05-15T01:38:57.000Z,2026-05-16T19:01:00.654Z,6294.0,Acres,100,Percent,Hartley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264104,Wildfire,35.71846000000019,-102.86811999999999
B8533668-4388-4DB4-B55E-0C2ECA36EA49,Crooked Cook,729.7706,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T21:33:40.000Z,2026-05-15T00:50:13.000Z,2026-05-16T18:36:59.583Z,1388.0,Acres,100,Percent,Motley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264102,Wildfire,34.01182199468238,-100.83508749240752
9FE26DC9-E907-4787-AD31-A2A51AAD9A1A,Indigo,1220.3053,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T02:14:28.000Z,2026-05-14T23:16:30.000Z,2026-05-15T02:15:28.078Z,50.0,Acres,100,Percent,Oldham,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264098,Wildfire,35.295857000000176,-102.34116599999997
B29B0BF4-3EF5-4A15-90EF-6E9D3B163602,McBride,1032.5143,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T03:41:26.000Z,2026-05-14T22:54:55.000Z,2026-05-15T21:41:12.416Z,2192.0,Acres,100,Percent,Carson,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264097,Wildfire,35.514808,-101.50825899999998
89FFFA7C-F297-4B5D-AB9B-8FE376E1E164,Shifty,971.5006,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T20:30:57.000Z,2026-05-14T22:41:14.000Z,2026-05-16T18:49:53.863Z,5277.0,Acres,100,Percent,Potter,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264096,Wildfire,35.473519999999986,-101.95254300000002
54EC72D0-E40F-4DD1-A9A6-F91BD7336202,Hunggate,1091.6777,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-05-14T22:28:01.000Z,2026-05-14T22:23:29.000Z,2026-05-17T01:01:18.526Z,34005.0,Acres,60,Percent,Randall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264092,Wildfire,34.94154999999999,-101.95506666666668
FEF8E2C3-C132-4E54-8EC3-34BC401364A6,Bowie 4050,100.6761,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T02:30:00.000Z,2026-05-12T18:48:00.000Z,2026-05-15T03:00:26.122Z,2.0,Acres,100,Percent,Bowie,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264050,Wildfire,33.50966,-94.41692999999998
C204158B-869C-437F-BC21-83B59AED1575,Nacogdoches 3606,141.6239,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-12T00:41:00.000Z,2026-04-11T22:47:00.000Z,2026-04-12T00:44:39.075Z,2.0,Acres,100,Percent,Nacogdoches,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,263606,Wildfire,31.73101666666666,-94.66471666666666
