id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
DBBF0B2D-9481-4271-9306-F29FDC3D2E95,North Fork,974.1052,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-10T03:25:16.000Z,2026-07-09T23:14:22.000Z,2026-07-10T03:27:32.074Z,165.0,Acres,100,Percent,Gray,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,265882,Wildfire,35.43611100000019,-100.98472199999996
E3C6C6C4-6D46-4783-AE29-8DAD20975D73,Rusk 5879,153.8397,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-09T23:41:00.000Z,2026-07-09T21:25:00.000Z,2026-07-09T23:43:53.069Z,0.47,Acres,100,Percent,Rusk,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,265879,Wildfire,31.941649999999996,-94.78103333333334
E7B84553-C24B-4479-A206-97E2799D4870,Quarry,357.533,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-10T01:03:16.000Z,2026-07-09T21:11:22.000Z,2026-07-10T01:06:06.358Z,51.0,Acres,100,Percent,Palo Pinto,COUNTY,2,REGION,TXTXS - Texas A & M Forest Service,Visible,265878,Wildfire,32.71150000000019,-98.37236666666662
5254F880-5634-46DC-87D6-A7605C8183D9,Calpine,176.0309,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-09T22:15:02.000Z,2026-07-09T21:04:50.000Z,2026-07-10T00:38:33.671Z,7.0,Acres,90,Percent,Bosque,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,265877,Wildfire,31.836666,-97.367797
7A8CEB38-5C4D-4A8A-82E9-ACF2E2B1A6EB,Cusenbarry Draw,648.608,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-09T22:29:35.000Z,2026-07-09T21:02:26.000Z,2026-07-10T03:12:05.759Z,1200.0,Acres,10,Percent,Sutton,COUNTY,7,REGION,TXTXS - Texas A & M Forest Service,Visible,265876,Wildfire,30.39999999999999,-100.61650000000002
F9D94D0E-8797-4826-B675-75C69F4785F8,Trinity 5875,94.5116,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-09T22:15:00.000Z,2026-07-09T19:20:23.000Z,2026-07-09T22:18:53.843Z,13.7,Acres,100,Percent,Trinity,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,265875,Wildfire,31.31230000000001,-94.98073333333333
8FB6F6E4-3EB5-4A22-A756-AB2339B40797,Brushy Creek,445.7481,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-09T21:35:02.000Z,2026-07-09T18:46:36.000Z,2026-07-10T05:04:29.762Z,29.5,Acres,90,Percent,Burnet,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,265872,Wildfire,30.957970880409057,-98.3372414202965
B336DC16-0CA8-4C57-A31F-8B2BA34A65B1,Egery Flats,4.1292,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-09T18:54:13.000Z,2026-07-08T22:57:06.000Z,2026-07-09T18:55:18.624Z,73.0,Acres,100,Percent,Aransas,COUNTY,5,REGION,TXTXS - Texas A & M Forest Service,Visible,265858,Wildfire,28.05497199999999,-97.20332499999999
E5BD331F-19A3-4824-8B67-5795BE644A33,Tests,232.4475,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-08T23:30:47.000Z,2026-07-08T22:22:45.000Z,2026-07-08T23:43:10.331Z,6.0,Acres,100,Percent,McLennan,COUNTY,8,REGION,TXTXS - Texas A & M Forest Service,Visible,265856,Wildfire,31.416528867544802,-97.43783973014311
DA487F72-D852-4379-90AC-FCB6318C4542,Getaway Pens,583.4765,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-08T22:12:20.000Z,2026-07-08T19:45:20.000Z,2026-07-10T00:08:35.921Z,1000.0,Acres,30,Percent,Dickens,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,265848,Wildfire,33.44265,-100.61491833333332
386444F9-70BC-4BE6-AD5C-F2BA6A6CDDDD,Holden,7.5713,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-07-08T19:17:07.000Z,2026-07-08T19:05:21.000Z,2026-07-09T22:40:47.613Z,36.0,Acres,95,Percent,Aransas,COUNTY,5,REGION,TXTXS - Texas A & M Forest Service,Visible,265847,Wildfire,27.93830000000019,-97.14789999999998
52D321A1-7F76-40D2-9570-1FD2CEE3BF82,Enchanted View,534.257,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-08T00:33:19.000Z,2026-07-07T21:28:21.000Z,2026-07-08T00:34:02.133Z,24.0,Acres,100,Percent,Gillespie,COUNTY,6,REGION,TXTXS - Texas A & M Forest Service,Visible,265828,Wildfire,30.46837607210109,-98.84059038176585
70090490-A04E-46FA-8B2C-9950C485F8F9,Anderson 5821,143.0045,#595959,Controlled,6CE1E29B-606F-46CB-AEC6-6B9C40B2B18F,2026-07-09T18:18:00.000Z,2026-07-07T19:59:07.000Z,2026-07-09T18:19:48.107Z,9.0,Acres,100,Percent,Anderson,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,265821,Wildfire,31.70860825273005,-95.52492812971956
1D421469-6AE0-4F81-A14B-6601D3B0BEC6,Boys Ranch,596.8608,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-07T20:59:15.000Z,2026-07-07T19:28:48.000Z,2026-07-07T20:59:33.545Z,2.5,Acres,100,Percent,Tom Green,COUNTY,7,REGION,TXTXS - Texas A & M Forest Service,Visible,265819,Wildfire,31.329333333333334,-100.61516666666668
39C17F49-8B7D-4BAF-8ABB-94F491C91D7D,Van Zandt 5806,134.4826,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-07-07T04:51:00.000Z,2026-07-07T00:17:00.000Z,2026-07-07T04:58:53.572Z,7.0,Acres,100,Percent,Van Zandt,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,265806,Wildfire,32.358985040981175,-95.96461990088599
