id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
E2109D27-A59D-4F8B-854A-AE3A85FF0EA2,Houston 4398,114.6939,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-06-03T14:34:00.000Z,2026-06-03T14:12:00.000Z,2026-06-03T14:45:10.227Z,0.1,Acres,0,Percent,Houston,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,264398,Wildfire,31.30233333333334,-95.50928333333333
6471A873-AA28-464B-9C77-C4A2F7385A6F,Trinity 4393,117.5439,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-06-03T00:28:00.000Z,2026-06-02T22:02:00.000Z,2026-06-03T00:30:04.666Z,6.3,Acres,100,Percent,Trinity,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,264393,Wildfire,31.17573333333333,-95.24255
EEB4B8B3-912D-469D-B0C3-F9466C5F601B,Polk 4392,59.5248,#595959,Controlled,6CE1E29B-606F-46CB-AEC6-6B9C40B2B18F,2026-06-03T14:51:00.000Z,2026-06-02T22:00:00.000Z,2026-06-03T14:54:56.088Z,28.3,Acres,100,Percent,Polk,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,264392,Wildfire,30.554196999999988,-94.67684599999998
99CF3DA9-EA9E-496A-983E-D0D5B689D1F7,Caprock,739.231,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-06-01T17:44:29.000Z,2026-05-31T20:00:17.000Z,2026-06-01T17:44:56.734Z,11.0,Acres,100,Percent,Briscoe,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264368,Wildfire,34.4569,-101.0319
4CEEA569-3A14-46E2-A01D-5D68A5A1E59D,Sabine 3508,66.2268,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-04-08T22:12:00.000Z,2026-04-08T20:00:00.000Z,2026-04-08T22:14:58.936Z,14.0,Acres,100,Percent,Sabine,COUNTY,3B,REGION,TXTXS - Texas A & M Forest Service,Visible,263508,Wildfire,31.210633333333327,-93.94941666666665
