id,name,altitude,color,statusname,statusid,statustimestamp,firsttimestatus,lastupdated,size,sizeunit,containment,containmentunit,admindivision,admindivisiontype,admindivisionupper,admindivisionuppertype,protectingunit,publicvisibility,number,categoryType,lat,lng
1F8B6C4C-FCC6-45E2-A1F2-286907DB19BE,Morris 4198,122.9445,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-19T19:50:00.000Z,2026-05-19T18:37:19.000Z,2026-05-19T20:22:56.788Z,1.0,Acres,100,Percent,Morris,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264198,Wildfire,32.94452,-94.68446999999999
DA532011-DFAF-4E75-AA7E-480CAB6B5B07,Kress,1069.4034,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-05-18T21:21:56.000Z,2026-05-18T21:06:00.000Z,2026-05-19T17:07:15.921Z,1551.0,Acres,95,Percent,Swisher,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264185,Wildfire,34.38652017542925,-101.78121593536743
03C70F05-C543-4CF1-A616-F65509501B00,Stinky,1159.7716,#FF0000,Active,9ABFE884-54FD-43AE-A309-0E03D24C3BC4,2026-05-18T21:29:00.006Z,2026-05-17T21:24:40.000Z,2026-05-19T19:23:30.542Z,2570.0,Acres,30,Percent,Potter,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264173,Wildfire,35.22501100000019,-102.01689999999999
F48EC550-4FD9-44EE-89FB-70D558B56CDC,Blue Diamond,962.681,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-19T04:33:13.000Z,2026-05-17T20:57:25.000Z,2026-05-19T18:23:07.126Z,741.0,Acres,100,Percent,Oldham,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264172,Wildfire,35.501506666666664,-102.22483833333334
DA5777D4-A558-43AD-A1B1-078DFD80AAA8,Rusk 4171,148.6984,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-17T21:32:00.000Z,2026-05-17T20:05:52.000Z,2026-05-17T21:37:53.420Z,1.0,Acres,100,Percent,Rusk,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264171,Wildfire,31.899166666666662,-94.80638888888889
FF03C14F-C864-4D47-BA6F-AA9B353186BF,Harrison 4170,99.1647,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-18T00:05:00.000Z,2026-05-17T19:45:34.000Z,2026-05-18T16:33:58.856Z,6.5,Acres,100,Percent,Harrison,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264170,Wildfire,32.486819999999994,-94.39107
8BE0095E-756A-413A-A3B8-C8908CCA8772,Panola 4154,114.5672,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T22:09:00.000Z,2026-05-16T19:06:49.000Z,2026-05-16T22:14:15.375Z,4.0,Acres,100,Percent,Panola,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264154,Wildfire,32.05279999999999,-94.58301666666667
FF1E283D-AE6B-4C48-95E7-1BD2F5388856,Cherokee 4152,161.9481,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T22:23:00.000Z,2026-05-16T17:38:16.000Z,2026-05-16T22:27:26.005Z,5.1,Acres,100,Percent,Cherokee,COUNTY,3A,REGION,TXTXS - Texas A & M Forest Service,Visible,264152,Wildfire,31.94491666666666,-95.30933333333333
4554BC9C-2623-4D57-B796-55BC6960710A,Comanche,578.3795,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-18T03:21:49.000Z,2026-05-16T02:31:45.000Z,2026-05-18T22:16:37.248Z,1991.0,Acres,100,Percent,Motley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264138,Wildfire,34.29898800000017,-100.52481999999998
581D38F9-74F6-46FB-8233-2A2B6BB20439,Ox Bow,694.5561,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-17T02:10:04.000Z,2026-05-15T21:57:30.000Z,2026-05-18T16:56:05.250Z,1015.0,Acres,100,Percent,Hall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264128,Wildfire,34.50009900000018,-100.78034999999998
62335EB4-02B2-470C-941F-B2A59E417B0F,Western,1125.9786,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T17:44:30.000Z,2026-05-15T21:52:37.000Z,2026-05-17T15:30:55.347Z,1137.0,Acres,100,Percent,Randall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264127,Wildfire,34.88270125428144,-101.93800311396758
A9598012-28CD-40E1-93AB-A2979F5CCA57,Mustache,469.4349,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T03:05:05.000Z,2026-05-15T21:42:18.000Z,2026-05-16T18:18:59.932Z,529.0,Acres,100,Percent,Haskell,COUNTY,1B,REGION,TXTXS - Texas A & M Forest Service,Visible,264126,Wildfire,33.326111111111295,-99.98472222222219
7A026FFC-7A1E-4473-9E35-A9982F006E1B,Cherokee,654.9647,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T02:34:04.000Z,2026-05-15T15:46:28.000Z,2026-05-18T17:04:56.531Z,3222.0,Acres,100,Percent,Briscoe,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264115,Wildfire,34.60333333333352,-101.01805555555552
83B993D5-8EB1-4C0D-AB9B-812E4642E158,Chainey Mountain,643.2361,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T23:50:01.000Z,2026-05-15T15:43:06.000Z,2026-05-18T16:53:44.672Z,1200.0,Acres,100,Percent,Hall,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264114,Wildfire,34.39444444444463,-100.51305555555551
235A372D-0290-4700-A574-BF6997AE4C73,Line,1236.7527,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T18:20:05.000Z,2026-05-15T05:34:33.000Z,2026-05-18T20:34:41.644Z,10913.0,Acres,100,Percent,Oldham,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264106,Wildfire,35.607533000000195,-103.04099699999996
1DB5D413-166B-4F7A-9C20-AC7DDE9EAF59,Roman,1225.827,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-16T18:26:36.000Z,2026-05-15T01:38:57.000Z,2026-05-19T17:15:12.952Z,6294.0,Acres,100,Percent,Hartley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264104,Wildfire,35.71846000000019,-102.86811999999999
B8533668-4388-4DB4-B55E-0C2ECA36EA49,Crooked Cook,729.7706,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T21:33:40.000Z,2026-05-15T00:50:13.000Z,2026-05-16T18:36:59.583Z,1388.0,Acres,100,Percent,Motley,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264102,Wildfire,34.01182199468238,-100.83508749240752
B29B0BF4-3EF5-4A15-90EF-6E9D3B163602,McBride,1032.5143,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T03:41:26.000Z,2026-05-14T22:54:55.000Z,2026-05-17T16:45:09.026Z,2192.0,Acres,100,Percent,Carson,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264097,Wildfire,35.514808,-101.50825899999998
89FFFA7C-F297-4B5D-AB9B-8FE376E1E164,Shifty,971.5006,#93735D,Contained,408E3A31-82B6-4C0D-9697-64F86B525A8F,2026-05-15T20:30:57.000Z,2026-05-14T22:41:14.000Z,2026-05-16T18:49:53.863Z,5277.0,Acres,100,Percent,Potter,COUNTY,1A,REGION,TXTXS - Texas A & M Forest Service,Visible,264096,Wildfire,35.473519999999986,-101.95254300000002
